,Close
2022-04-26,539.7298150177586
2022-04-27,539.845708280601
2022-04-28,539.5184574220852
2022-04-29,539.6117219782383
2022-04-30,539.714958682296
2022-05-01,539.8053734675475
2022-05-02,539.9068954830308
2022-05-03,540.0088118571693
2022-05-04,540.1103608235439
2022-05-05,540.2122025922828
2022-05-06,540.3140583460985
2022-05-07,540.4159036592475
2022-05-08,540.5177566755456
2022-05-09,540.6196101582389
2022-05-10,540.7214633463878
2022-05-11,540.8233167367752
2022-05-12,540.9251701421116
2022-05-13,541.027023539192
2022-05-14,541.1288769415706
2022-05-15,541.2307303444153
2022-05-16,541.3325837470298
2022-05-17,541.4344371497829
2022-05-18,541.5362905525501
2022-05-19,541.638143955311
2022-05-20,541.7399973580755
2022-05-21,541.8418507608404
2022-05-22,541.9437041636052
2022-05-23,542.04555756637
2022-05-24,542.1474109691349
2022-05-25,542.2492643718997
2022-05-26,542.3511177746645
