,Close
2022-04-26,119.53878034813407
2022-04-27,119.69029667166039
2022-04-28,119.86035941723098
2022-04-29,120.03143873710563
2022-04-30,120.20163205011723
2022-05-01,120.37193661135346
2022-05-02,120.5422584973911
2022-05-03,120.71257307364482
2022-05-04,120.88288818718004
2022-05-05,121.05320350466036
2022-05-06,121.22351876652132
2022-05-07,121.39383402953925
2022-05-08,121.56414929459537
2022-05-09,121.7344645592637
2022-05-10,121.90477982391532
2022-05-11,122.0750950885853
2022-05-12,122.24541035325286
2022-05-13,122.4157256179201
2022-05-14,122.5860408825875
2022-05-15,122.75635614725486
2022-05-16,122.92667141192224
2022-05-17,123.09698667658961
2022-05-18,123.26730194125697
2022-05-19,123.43761720592434
2022-05-20,123.6079324705917
2022-05-21,123.77824773525907
2022-05-22,123.94856299992644
2022-05-23,124.1188782645938
2022-05-24,124.28919352926117
2022-05-25,124.45950879392853
2022-05-26,124.6298240585959
