,Close
2022-04-26,492.72509781694777
2022-04-27,492.4725545495333
2022-04-28,492.0035514233158
2022-04-29,492.2006615015683
2022-04-30,492.28380821781843
2022-05-01,492.38153341399584
2022-05-02,492.5050185191163
2022-05-03,492.62194144078074
2022-05-04,492.74060131299575
2022-05-05,492.8601211471555
2022-05-06,492.97932956930623
2022-05-07,493.0986580839994
2022-05-08,493.2180086168177
2022-05-09,493.3373466288322
2022-05-10,493.4566913972571
2022-05-11,493.57603635501175
2022-05-12,493.69538090572263
2022-05-13,493.81472578996215
2022-05-14,493.9340706487973
2022-05-15,494.05341549940397
2022-05-16,494.17276036478705
2022-05-17,494.29210522778084
2022-05-18,494.4114500909361
2022-05-19,494.5307949546778
2022-05-20,494.6501398182751
2022-05-21,494.769484681904
2022-05-22,494.88882954555316
2022-05-23,495.00817440919525
2022-05-24,495.1275192728397
2022-05-25,495.24686413648476
2022-05-26,495.3662090001295
